Run 1 : 

Red Wine Individual Average Error
for Euclidean : 0,495297805642633
for Manhattan : 0,495297805642633
for Minkowski : 0,70846394984326
Red Wine Individual Average Euclidean Error : 0,495297805642633, Correct Count : 303(94%), False Count : 16(5%)
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 7
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 4
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 4
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 4
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 7
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 4
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 4
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 7
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 4
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 3
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 7, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 4
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 7, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 4
Euclidean : 5, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 8
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 7, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 3
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 7, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 7
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 4
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 3
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 4
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 4
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 8
Euclidean : 5, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 4
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 4
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 4
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 7, Manhattan : 7, Minkowski : 6, Original : 8
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 6, Original : 4

Red Wine Cluster Average Error
for Euclidean : 0,70846394984326
for Manhattan : 0,70846394984326
for Minkowski : 0,70846394984326
Red Wine Nearest Cluster Average Euclidean Error : 0,70846394984326, Correct Count : 280(87%), False Count : 39(12%)
Red Wine Nearest Cluster Average Manhattan Error : 0,70846394984326, Correct Count : 283(88%), False Count : 36(11%)
Red Wine Nearest Cluster Average Minkowski Error : 0,70846394984326, Correct Count : 280(87%), False Count : 39(12%)
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 7
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 5
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 6
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 5
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 5
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 5
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 6
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 5
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 5
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 5
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 6
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 7
Euclidean : 5, Manhattan : 6, Minkowski : 5, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 8
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 5
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 6
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 7
Euclidean : 5, Manhattan : 5, Minkowski : 5, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 4
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 7
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 4
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 6
Euclidean : 6, Manhattan : 6, Minkowski : 6, Original : 5
